story_id,epic_id,module,persona,user_story,acceptance_criteria_count,sample_acceptance_criteria,story_points,sprint,owner,data_dependency,grooming_score,acceptance_quality,uat_test_cases,uat_pass_rate,p1_defects,p2_defects,signoff_status,readiness_score
US001-1,EP001,Account opening,New checking customer,"As a new checking customer, I need to prefill verified identity data so I can complete banking tasks without calling support.",3,"Given verified account context, when the user attempts to prefill verified identity data, then the experience confirms eligibility, errors, and audit logging before completion.",3,Sprint 7,Product owner,Core banking,67.6,78.2,5,0.6,1,1,Not ready,42.3
US001-2,EP001,Account opening,New checking customer,"As a new checking customer, I need to save an unfinished application so I can complete banking tasks without calling support.",3,"Given verified account context, when the user attempts to save an unfinished application, then the experience confirms eligibility, errors, and audit logging before completion.",8,Sprint 7,Business analyst,Fraud service,67.2,84.6,3,0.333,0,0,Not ready,53.5
US001-3,EP001,Account opening,New checking customer,"As a new checking customer, I need to show missing-document reasons so I can complete banking tasks without calling support.",3,"Given verified account context, when the user attempts to show missing-document reasons, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 7,QA lead,Core banking,69.5,69.0,4,0.75,0,0,Pending,69.3
US002-1,EP002,Security,Mobile banking customer,"As a mobile banking customer, I need to step up high-risk sessions so I can complete banking tasks without calling support.",4,"Given verified account context, when the user attempts to step up high-risk sessions, then the experience confirms eligibility, errors, and audit logging before completion.",3,Sprint 8,Product owner,Fraud service,79.2,83.7,5,1.0,0,1,Pending,77.6
US002-2,EP002,Security,Mobile banking customer,"As a mobile banking customer, I need to recover access with verified contact data so I can complete banking tasks without calling support.",3,"Given verified account context, when the user attempts to recover access with verified contact data, then the experience confirms eligibility, errors, and audit logging before completion.",3,Sprint 8,Product owner,Fraud service,76.9,67.0,4,1.0,0,0,Signed,79.1
US002-3,EP002,Security,Mobile banking customer,"As a mobile banking customer, I need to explain failed authentication attempts so I can complete banking tasks without calling support.",5,"Given verified account context, when the user attempts to explain failed authentication attempts, then the experience confirms eligibility, errors, and audit logging before completion.",3,Sprint 8,Business analyst,Document store,71.2,76.9,5,0.6,0,1,Not ready,59.2
US003-1,EP003,Money movement,Everyday banking customer,"As a everyday banking customer, I need to schedule recurring transfers so I can complete banking tasks without calling support.",3,"Given verified account context, when the user attempts to schedule recurring transfers, then the experience confirms eligibility, errors, and audit logging before completion.",8,Sprint 8,Product owner,Notification hub,68.3,72.1,3,1.0,0,0,Pending,72.1
US003-2,EP003,Money movement,Everyday banking customer,"As a everyday banking customer, I need to surface transfer limits before submit so I can complete banking tasks without calling support.",5,"Given verified account context, when the user attempts to surface transfer limits before submit, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 8,Engineering lead,Notification hub,67.6,69.4,6,0.833,0,0,Pending,71.3
US003-3,EP003,Money movement,Everyday banking customer,"As a everyday banking customer, I need to send transfer confirmation alerts so I can complete banking tasks without calling support.",4,"Given verified account context, when the user attempts to send transfer confirmation alerts, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 8,Product owner,Core banking,82.0,68.7,4,0.25,1,2,Not ready,21.3
US004-1,EP004,Payments,Household bill payer,"As a household bill payer, I need to add a new payee with address validation so I can complete banking tasks without calling support.",4,"Given verified account context, when the user attempts to add a new payee with address validation, then the experience confirms eligibility, errors, and audit logging before completion.",8,Sprint 9,Product owner,Core banking,69.2,76.9,5,0.8,0,0,Pending,74.7
US004-2,EP004,Payments,Household bill payer,"As a household bill payer, I need to review pending bill pay payments so I can complete banking tasks without calling support.",4,"Given verified account context, when the user attempts to review pending bill pay payments, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 9,QA lead,Notification hub,60.3,80.7,5,0.6,0,1,Not ready,61.1
US004-3,EP004,Payments,Household bill payer,"As a household bill payer, I need to edit payment delivery date so I can complete banking tasks without calling support.",5,"Given verified account context, when the user attempts to edit payment delivery date, then the experience confirms eligibility, errors, and audit logging before completion.",5,Sprint 9,Engineering lead,Document store,65.7,83.7,6,0.5,0,2,Not ready,54.0
